FilePath, ChangeRate, AddLines, DeleteLines
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java,16,103,31
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,9,85,66
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,6,46,8
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,6,48,9
lang/java/avro/src/test/java/org/apache/avro/specific/TestRecordWithLogicalTypes.java,1,697,0
lang/java/avro/src/test/java/org/apache/avro/specific/TestRecordWithoutLogicalTypes.java,1,503,0
lang/java/avro/src/test/java/org/apache/avro/specific/TestSpecificLogicalTypes.java,1,210,0
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,21,617,86
lang/java/compiler/src/test/java/org/apache/avro/compiler/specific/TestSpecificCompiler.java,1,34,0
lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java,3,155,0
lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java,7,339,62
lang/java/avro/src/test/java/org/apache/avro/io/TestJsonDecoder.java,3,82,2
doc/examples/java-example/src/main/java/example/GenericMain.java,3,105,34
doc/examples/java-example/src/main/java/example/SpecificMain.java,3,108,35
doc/examples/mr-example/src/main/java/example/MapReduceAvroWordCount.java,2,125,1
lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/main/java/service/SimpleOrderService.java,4,61,16
lang/java/archetypes/avro-service-archetype/src/main/resources/archetype-resources/src/test/java/integration/SimpleOrderServiceIntegrationTest.java,3,119,32
lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.java,2,7,2
lang/java/avro/src/main/java/org/apache/avro/JsonProperties.java,3,240,7
lang/java/avro/src/main/java/org/apache/avro/Protocol.java,9,205,96
lang/java/avro/src/main/java/org/apache/avro/Schema.java,39,495,218
lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,4,3531,933
lang/java/avro/src/main/java/org/apache/avro/SchemaValidationStrategy.java,3,39,1
lang/java/avro/src/main/java/org/apache/avro/SchemaValidator.java,2,47,1
lang/java/avro/src/main/java/org/apache/avro/SchemaValidatorBuilder.java,2,80,3
lang/java/avro/src/main/java/org/apache/avro/UnresolvedUnionException.java,2,40,1
lang/java/avro/src/main/java/org/apache/avro/ValidateCanBeRead.java,2,44,2
lang/java/avro/src/main/java/org/apache/avro/ValidateCanRead.java,2,45,2
lang/java/avro/src/main/java/org/apache/avro/ValidateMutualRead.java,2,77,3
lang/java/avro/src/main/java/org/apache/avro/data/ErrorBuilder.java,2,55,8
lang/java/avro/src/main/java/org/apache/avro/data/Json.java,3,285,6
lang/java/avro/src/main/java/org/apache/avro/data/RecordBuilder.java,2,31,1
lang/java/avro/src/main/java/org/apache/avro/data/RecordBuilderBase.java,6,250,84
lang/java/avro/src/main/java/org/apache/avro/file/BZip2Codec.java,3,108,3
lang/java/avro/src/main/java/org/apache/avro/file/Codec.java,2,7,9
lang/java/avro/src/main/java/org/apache/avro/file/CodecFactory.java,5,68,23
lang/java/avro/src/main/java/org/apache/avro/file/DataFileConstants.java,6,8,3
lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java,5,54,11
lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.java,2,11,5
lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.java,9,76,39
lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java,11,171,61
lang/java/avro/src/main/java/org/apache/avro/file/DeflateCodec.java,2,11,11
lang/java/avro/src/main/java/org/apache/avro/file/FileReader.java,1,1,1
lang/java/avro/src/main/java/org/apache/avro/file/NullCodec.java,2,4,4
lang/java/avro/src/main/java/org/apache/avro/file/SnappyCodec.java,5,126,43
lang/java/avro/src/main/java/org/apache/avro/generic/GenericArray.java,1,1,1
lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,45,826,237
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,24,287,100
lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecordBuilder.java,6,302,42
lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,5,161,27
lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,7,99,90
lang/java/avro/src/main/java/org/apache/avro/io/BinaryEncoder.java,4,68,204
lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,3,94,159
lang/java/avro/src/main/java/org/apache/avro/io/BufferedBinaryEncoder.java,5,236,9
lang/java/avro/src/main/java/org/apache/avro/io/Decoder.java,5,20,23
lang/java/avro/src/main/java/org/apache/avro/io/DecoderFactory.java,4,200,116
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryDecoder.java,3,10,9
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryEncoder.java,2,137,4
lang/java/avro/src/main/java/org/apache/avro/io/Encoder.java,6,33,21
lang/java/avro/src/main/java/org/apache/avro/io/EncoderFactory.java,7,409,44
lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java,8,106,35
lang/java/avro/src/main/java/org/apache/avro/io/ParsingDecoder.java,2,5,3
lang/java/avro/src/main/java/org/apache/avro/io/ParsingEncoder.java,2,5,5
lang/java/avro/src/main/java/org/apache/avro/io/ResolvingDecoder.java,3,84,17
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingDecoder.java,4,35,19
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingEncoder.java,4,29,26
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Parser.java,1,6,6
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,11,115,43
lang/java/avro/src/main/java/org/apache/avro/io/parsing/SkipParser.java,1,1,1
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Symbol.java,12,338,229
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,3,6,6
lang/java/avro/src/main/java/org/apache/avro/reflect/AvroAlias.java,2,38,1
