FilePath, ChangeRate, AddLines, DeleteLines, class
lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java,16,200,82,bug-prone
lang/java/avro/src/test/java/org/apache/avro/DummyLogicalTypeFactory.java,1,30,0,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestLogicalType.java,8,149,119,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/Protocol.java,16,301,214,bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestProtocol.java,6,27,16,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestSchemaBuilder.java,17,617,486,bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java,7,59,43,non-bug-prone
lang/java/ipc/src/test/java/org/apache/avro/DataFileInteropTest.java,10,47,42,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java,13,279,139,bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/ArrayPositionPredicate.java,1,35,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/LocationStep.java,1,47,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/MapKeyPredicate.java,1,43,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/PathElement.java,1,25,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/PathPredicate.java,1,26,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/PathTracingException.java,1,46,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/PositionalPathPredicate.java,1,25,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/TracingAvroTypeException.java,1,66,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/TracingClassCastException.java,1,83,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/TracingNullPointException.java,1,92,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/UnionTypePredicate.java,1,35,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/path/package-info.java,1,25,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,29,489,319,bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,7,51,25,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/SchemaUtil.java,1,56,0,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericDatumWriter.java,14,369,136,bug-prone
lang/java/ipc/src/test/java/org/apache/avro/specific/TestSpecificDatumWriter.java,6,162,10,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/Schema.java,46,1241,796,bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestSchema.java,14,300,34,bug-prone
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,14,307,250,bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,14,245,191,bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,33,567,414,bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,7,57,69,bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,9,49,47,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectionUtil.java,7,98,21,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/reflect/TestReflectDatumWithAnonymousInstances.java,1,224,0,non-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,50,1042,678,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/DocCommentHelper.java,2,135,0,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/compiler/idl/TestIdl.java,11,135,93,bug-prone
lang/java/avro/src/main/java/org/apache/avro/Resolver.java,13,1325,517,bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestSchemaCompatibility.java,18,524,575,bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestSchemas.java,13,244,50,bug-prone
lang/java/avro/src/test/java/org/apache/avro/io/parsing/TestResolvingGrammarGenerator.java,9,48,65,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/compiler/specific/TestSpecificCompiler.java,40,1188,566,bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyInputFormat.java,5,11,16,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyOutputFormat.java,10,54,57,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyRecordReader.java,4,23,28,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyRecordWriter.java,5,30,36,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyValueRecordReader.java,5,28,36,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyValueRecordWriter.java,7,74,99,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestNestedRecords.java,8,153,57,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/generic/TestGenericLogicalTypes.java,14,307,136,bug-prone
lang/java/avro/src/test/java/org/apache/avro/io/TestEncoders.java,12,284,156,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestFsInput.java,7,25,35,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,26,752,604,bug-prone
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,12,85,53,bug-prone
lang/java/tools/src/test/compiler/output-string/avro/examples/baseball/FieldTest.java,11,689,22,bug-prone
lang/java/tools/src/test/compiler/output-string/avro/examples/baseball/Player.java,24,264,82,bug-prone
lang/java/tools/src/test/compiler/output/AddExtraOptionalGettersTest.java,5,444,8,non-bug-prone
lang/java/tools/src/test/compiler/output/NoSettersTest.java,5,402,8,non-bug-prone
lang/java/tools/src/test/compiler/output/OptionalGettersAllFieldsTest.java,5,509,10,non-bug-prone
lang/java/tools/src/test/compiler/output/OptionalGettersNullableFieldsTest.java,5,509,10,non-bug-prone
lang/java/tools/src/test/compiler/output/Player.java,23,262,80,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/IsResolvedSchemaVisitor.java,1,62,0,non-bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/ResolvingVisitor.java,13,288,109,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/SchemaResolver.java,15,146,241,bug-prone
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/Schemas.java,14,398,171,bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/MapUtil.java,1,45,0,non-bug-prone
lang/java/grpc/src/main/java/org/apache/avro/grpc/ServiceDescriptor.java,6,97,20,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/compiler/idl/DocCommentHelperTest.java,1,88,0,non-bug-prone
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/IDLProtocolMojo.java,15,42,33,non-bug-prone
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestIDLProtocolMojo.java,7,86,48,non-bug-prone
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestLog.java,1,128,0,non-bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/IdlToSchemataTool.java,4,13,11,non-bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/IdlTool.java,6,18,13,non-bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestIdlToSchemataTool.java,3,35,3,non-bug-prone
lang/java/tools/src/test/java/org/apache/avro/tool/TestIdlTool.java,1,80,0,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/compiler/idl/TestLogicalTypes.java,1,93,0,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/compiler/idl/TestReferenceAnnotationNotAllowed.java,1,39,0,non-bug-prone
lang/java/android/src/main/java/org/apache/avro/util/internal/ClassValueCache.java,1,46,0,non-bug-prone
lang/java/android/src/main/java/org/apache/avro/util/internal/ThreadLocalWithInitial.java,1,38,0,non-bug-prone
lang/java/android/src/test/java/org/apache/avro/util/internal/TestClassValueCache.java,1,37,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/JsonProperties.java,12,286,192,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,8,178,175,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/BinaryMessageDecoder.java,10,246,65,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/MessageDecoder.java,5,182,30,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/message/RawMessageEncoder.java,7,157,34,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/reflect/MapEntry.java,6,72,10,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/MapEntry.java,1,63,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/internal/ClassValueCache.java,1,47,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/internal/ThreadLocalWithInitial.java,1,32,0,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/util/internal/TestClassValueCache.java,1,37,0,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/TestDataFileCorruption.java,7,23,26,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/specific/TestSpecificData.java,1,93,0,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,14,165,100,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/util/TestUtf8.java,10,91,18,non-bug-prone
lang/java/compiler/src/test/java/org/apache/avro/compiler/schema/TestSchemas.java,4,433,153,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/FooBarSpecificRecord.java,9,456,219,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/specific/TestRecordWithLogicalTypes.java,10,630,331,non-bug-prone
lang/java/avro/src/test/java/org/apache/avro/specific/TestRecordWithoutLogicalTypes.java,6,231,117,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/BZip2Codec.java,8,35,52,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java,13,173,150,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/DeflateCodec.java,7,32,50,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/XZCodec.java,8,27,50,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/file/ZstandardCodec.java,8,205,101,non-bug-prone
lang/java/avro/src/main/java/org/apache/avro/util/NonCopyingByteArrayOutputStream.java,1,51,0,non-bug-prone
lang/java/integration-test/codegen-test/src/test/java/org/apache/avro/codegentest/TestCustomConversion.java,6,99,28,non-bug-prone
lang/java/integration-test/test-custom-conversions/src/main/java/org/apache/avro/codegentest/CustomEnumConversion.java,1,52,0,non-bug-prone
